1;arms_factory;49.00;10.68;3947.00;6.03;0
1;arms_factory;223.00;10.10;3947.00;2.41;0
1;arms_factory;30.00;10.40;4025.00;3.96;0
1;arms_factory;97.00;10.38;4081.00;1.81;0
1;arms_factory;272.00;10.00;3917.00;3.02;0
1;arms_factory;326.00;9.80;3933.00;0.85;0
1;industrial_complex;269.00;10.10;4078.00;3.87;0
1;industrial_complex;229.00;10.10;3956.00;5.08;0
1;industrial_complex;282.00;10.00;4031.00;2.92;0
1;industrial_complex;334.00;9.80;3942.00;4.48;0
1;industrial_complex;32.00;10.70;3901.00;0.86;0
1;industrial_complex;115.00;10.40;3953.00;3.52;0
1;air_base;273.00;10.00;3958.00;1.36;0
1;bunker;128.00;10.32;3995.00;2.92;0
1;bunker;214.00;10.10;3932.00;5.59;0
1;bunker;209.00;10.10;4006.00;1.97;0
1;bunker;253.00;10.10;4090.00;6.09;0
1;bunker;316.00;9.90;3960.00;1.37;0
1;bunker;298.00;10.00;4041.00;4.03;0
1;bunker;7.00;10.40;4057.00;1.87;0
1;bunker;233.00;10.10;3953.00;3.09;0
1;bunker;68.00;10.40;4002.00;6.10;0
1;bunker;143.00;10.30;4067.00;2.48;0
1;bunker;306.00;9.90;3924.00;5.15;0
1;bunker;97.00;10.55;3921.00;0.42;0
1;bunker;152.00;10.15;3861.00;4.54;0
1;bunker;18.00;10.35;4060.00;5.76;0
1;bunker;269.00;10.05;4050.00;3.59;0
1;bunker;59.00;10.60;3854.00;0.33;0
1;bunker;195.00;10.10;3852.00;1.53;0
1;bunker;300.00;10.00;4015.00;5.65;0
1;bunker;247.00;10.10;4060.00;2.04;0
1;bunker;10.00;10.50;3985.00;5.06;0
1;bunker;196.00;10.00;3831.00;6.26;0
1;bunker;102.00;10.40;4004.00;4.10;0
1;bunker;224.00;10.10;4050.00;0.48;0
1;bunker;215.00;10.10;4042.00;2.04;0
1;bunker;55.00;10.40;3978.00;4.71;0
1;bunker;209.00;10.10;3855.00;2.55;0
1;bunker;220.00;10.10;4073.00;2.65;0
1;bunker;275.00;9.98;3949.00;0.49;0
1;bunker;351.00;9.80;4002.00;4.61;0
1;bunker;326.00;9.90;4061.00;5.82;0
1;bunker;232.00;10.10;4019.00;2.55;0
1;bunker;69.00;10.50;3940.00;5.22;0
1;bunker;234.00;10.10;3907.00;1.60;0
1;bunker;144.00;10.40;3975.00;4.27;0
1;bunker;121.00;10.40;3900.00;1.00;0
